,UUID,Graph,label,source,Cookies,secure,session,httponly,httponly session,no httponly session
160,c6577c67-af08-410d-871f-e378969999c2,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
161,3f3a5f02-4b86-4887-b16b-587b5e6a845f,True,1.0,OP,0,,,,,
162,e5168c12-3dd1-4632-99e7-b4fced330263,True,1.0,OP,0,,,,,
163,98e291d1-18c3-4c90-a45c-0c34476a21e7,True,1.0,OP,0,,,,,
164,0561c76b-4bfe-455c-af38-2e65e2661033,True,1.0,OP,0,,,,,
165,343a8ae9-6d2c-452f-80f8-4954c2646609,True,1.0,OP,0,,,,,
166,ebfc1c96-2f56-4e63-831e-a580abf71bba,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
167,6834648e-ae2e-4445-8865-7944ca2b2e50,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
168,c0f67c21-29d7-4996-a5ac-9ce0ea431d8c,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
169,7b289f37-375f-42bd-91a7-b769a2e69dce,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
170,4fbb5ffc-eded-4b4e-9775-420a9a586066,True,1.0,OP,0,,,,,
171,f8456470-c2ed-4d5e-921a-1bed4773461d,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
172,19a18cad-4a6d-4970-b4f5-bd3bffd683d4,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
173,4a9e8a16-9939-467b-bd06-4a52928da993,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
174,db8d0989-df75-440c-8c97-6c1fc2e699ac,True,1.0,OP,8,8.0,4.0,6.0,24.0,0.0
175,eacec082-6522-4ee2-804b-8da3fe3435f9,True,1.0,OP,0,,,,,
176,19e1ef5b-b98a-4480-b4ee-e88b647f241a,True,1.0,OP,0,,,,,
177,8ee3bae6-6af8-47aa-98d0-150e0ea8e31c,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
178,81edf475-b550-4d76-a337-a189741569b5,True,1.0,OP,0,,,,,
179,9a57290a-d826-42e4-9fb2-0cd78b8da50c,True,1.0,OP,0,,,,,
